Title,Genre,Director,Country,Year,Rating
Should a Woman Divorce?,['драматический фильм'],['Эдвин МакКим'],['США'],1914,
The Amateur Detective,['комедия'],['Кэрролл Флеминг'],['США'],1914,
Shotgun Jones,['вестерн'],['Колин Кэмпбелл'],['США'],1914,
Mrs. Wiggs of the Cabbage Patch,['драматический фильм'],['Харольд Энтвистл'],['США'],1914,
Нандор Фодор и говорящий мангуст,,['Adam Sigal'],['Великобритания'],2023,5.4
Нападение на Рио Браво,['вестерн'],['Джо Корнет'],"['США,Россия']",2023,4.1
"На солнце, вдоль рядов кукурузы",['драма'],['Сарик Андреасян'],['Россия'],2023,5.8
Наполеон,"['эпическая', 'историческая драма']",['Ридли Скотт'],"['США', 'Великобритания']",2023,6.5
Незваные,['фолк-хоррор'],['Джон Райт'],"['Ирландия', 'Великобритания']",2023,5.3
"Истребитель демонов: Деревня кузнецов
","['боевик', 'фэнтези']",['Харуо Сотодзаки'],,2023,
Невидимая красота,['документальный фильм'],"['Бетанн Хардисон', 'ru', 'en', 'Фредерик Тшенг', 'ru', 'en']",['сша'],2023,8.0
The Master Key,['драматический фильм'],['Роберт З. Леонард'],['США'],1914,5.0
The Master Mind,['драматический фильм'],"['Оскар Апфель', 'Сесил Б. ДеМилль']",['США'],1914,
На земле святых и грешников,['фильм-триллер'],['Роберт Лоренц'],"['США', 'Ирландия']",2023,6.1
Наследие,"['социально-метареалистическая', 'драма']",['Роман Михайлов'],['Россия'],2023,6.0
The Only Son,['драматический фильм'],"['Оскар Апфель', 'Уильям Ч. де Милль', 'Сесил Б. ДеМилль', 'Томас Н. Хеффрон']",['США'],1914,
На Адаманте,['документальный фильм'],['Николас Филибер'],"['Франция', 'Япония']",2023,6.9
Мятежная Луна — Часть первая: Дитя огня,"['эпическая', 'космическая опера']",['Зак Снайдер'],['США'],2023,5.6
Мэгги Мур(ы),"['криминальный фильм', 'чёрная комедия']",['Джон Слэттери'],['США'],2023,6.2
Музыка,['драматический фильм'],['Ангела Шанелек'],"['Германия', 'Франция', 'Сербия']",2023,5.7
Молоко матери,,['Инара Колмане'],['Латвия'],2023,7.2
Мой Хатико,['драма'],['Сюй Ан'],['Китай'],2023,7.3
Монстр,['драма'],['Хирокадзу Корээда'],['Япония'],2023,7.9
Моя пиратская свадьба,"['романтическая комедия', 'боевик', 'романтический фильм', 'комедийный боевик']",['Джейсон Мур'],['США'],2023,5.4
Моё преступление,"['комедийная драма', 'полицейский фильм']",['Франсуа Озон'],['Франция'],2023,6.5
Миссия невыполнима: Смертельная расплата,"['шпионский', 'боевик']",['Кристофер Маккуорри'],['США'],2023,7.7
Миссия Ассасина,"['боевик', 'триллер', 'криминал']",['Джесси Атлас'],['США'],2023,3.2
Мизантроп,"['фильм-триллер', 'полицейский фильм', 'боевик']",['Дамиан Сифрон'],['США'],2023,6.6
Могучие Рейнджеры: Однажды и навсегда,"['приключение', 'фантастика']",['Чарли Хэскелл'],['США'],2023,5.7
Микулай,"['драматический фильм', 'фильм-триллер']",,['Россия'],2023,5.8
Маэстро,['биографический фильм'],['Брэдли Купер'],['США'],2023,6.7
Мёртвый сезон,['драматический фильм'],['Стефан Бризе'],['Франция'],2023,6.4
Мег 2: Бездна,"['научно-фантастический', 'боевик']",['Бен Уитли'],"['США', 'Китай']",2023,5.0
Манодром,"['драматический фильм', 'фильм-триллер']",['Джон Тренгов'],"['Великобритания', 'США']",2023,4.8
Материнское воскресенье,['драматический фильм'],['Эва Юссон'],['Великобритания'],2023,6.1
Мертвецам не больно,,['Вигго Мортенсен'],['США'],2023,6.8
Лютер: Павшее солнце,"['полицейский фильм', 'драматический фильм', 'фильм-триллер']",['Джэми Пэйн'],['США'],2023,6.4
Май декабрь,"['драматический фильм', 'романтический фильм']",['Тодд Хейнс'],['США'],2023,6.9
Любо,['драматический фильм'],['Giorgio Diritti'],"['Италия', 'Швейцария']",2023,6.7
