Title,Genre,Director,Country,Year,Rating
Розы красные,['Фильм нуар'],['Джеймс Тинлинг'],['США'],1947,6.1
Русский вопрос,"['драма', ', политический фильм']",['Михаил Ромм'],['СССР'],1947,6.1
Рюи Блас,['драма'],['Пьер Бийон'],"['Франция', 'Италия']",1947,6.4
Рассчитаемся после смерти,"['Фильм нуар', 'Триллер']",['Джон Кромвелл'],['США'],1947,7.1
Робинзон Крузо,['приключения'],"['Андриевский, Александр Николаевич']",['СССР'],1947,6.6
Розовая лошадь,['Фильм нуар'],['Роберт Монтгомери'],['США'],1947,7.2
Рождённый убивать,['нуар'],['Роберт Уайз'],['США'],1947,7.2
Призрак и миссис Мьюр,"['комедия', 'драма', 'фэнтезийный']",['Джозеф Манкевич'],['США'],1947,7.8
Проклятые,['Драма'],['Рене Клеман'],['Франция'],1947,7.1
Прилив,['Фильм нуар'],['Джон Рейнхардт'],['США'],1947,6.5
Поезд идёт на восток,['комедия'],['Ю. Я. Райзман'],['СССР'],1947,7.1
Последнее пристанище,['драма'],['Марк Моретт'],['Франция'],1947,6.3
Покойный Джордж Эпли,['сатира'],['Джозеф Манкевич'],['США'],1947,7.0
Последний шанс,"['драма, экранизация']",['Жан Деланнуа'],['франция'],1947,7.2
Рассказ домовладельца,['драма'],['Ясудзиро Одзу'],['Япония'],1947,7.7
Потерянное мгновение,"['Мелодрама', 'Фильм нуар']",['Мартин Гейбел'],['США'],1947,6.9
Претендент,['Фильм нуар'],['В. Ли Уайлдер'],['США'],1947,6.4
Поцелуй смерти,"['Фильм нуар', 'Драма', 'Триллер']",['Генри Хэтэуэй'],['США'],1947,7.4
Повторное исполнение,"['Фильм нуар', 'Фэнтези', 'мелодрама']",['Альфред Л. Веркер'],['США'],1947,6.8
Я люблю только тебя,['комедия'],['Пьер Монтазаль'],['Франция'],1949,5.7
Подставили!,['Фильм нуар'],['Энтони Манн'],['США'],1947,6.6
Подставленный,['Фильм нуар'],['Ричард Уоллес'],['США'],1947,6.9
Чёртово ущелье,['боевик'],"['Тадеуш Каньский', 'Альдо Вергано']",['Польша'],1949,6.1
Чикагский предел,['нуар'],['Льюис Аллен'],['США'],1949,6.4
Угроза,"['Фильм нуар', 'Триллер']",['Феликс Э. Файст'],['США'],1949,6.7
Чемпион,"['драма', 'нуар']",['Марк Робсон'],['США'],1949,7.3
«Подвиг разведчика»,"['военный фильм', 'детективно', 'приключенческий фильм']",['Борис Барнет'],['СССР'],1947,6.7
Флэкси Мартин,['Фильм нуар'],['Ричард Л. Бэр'],['США'],1949,6.5
Убийство,"['Фильм нуар', 'Детектив']",['Феликс Дейковс'],['США'],1949,6.3
Чёрная магия,['мелодрама'],['Грегори Ратофф'],"['США', 'Италия']",1949,6.4
У них есть Родина,['драма'],"['Александр Файнциммер', 'Владимир Легошин']",['СССР'],1949,6.0
У стен Малапаги,"['драма', 'мелодрама']",['Рене Клеман'],"['Франция', 'Италия']",1949,6.8
Увольнение в город,"['комедия', 'мелодрама', 'музыкальный фильм']","['Стэнли Донен', 'Джин Келли']",['США'],1949,7.3
Третий человек,"['детектив', 'нуар']",['Кэрол Рид'],['Великобритания'],1949,8.1
Тюрьма,['драма'],['Ингмар Бергман'],['Швеция'],1949,6.7
Удар,"['нуар', 'Триллер', 'Мелодрама']",['Артур Любин'],['США'],1949,7.0
Тото ищет квартиру,['комедия'],"['Стено', 'Марио Моничелли']",['Италия'],1949,6.5
Тихий поединок,['драма'],['Акира Куросава'],['Япония'],1949,7.4
Тайна Майерлинга,"['исторический фильм', 'биографический фильм', 'драма', 'мелодрама']",['Жан Деланнуа'],['Франция'],1949,6.4
Сыщик,"['нуаровый', 'триллер']",['Джозеф Х. Льюис'],['США'],1949,6.6
Счастливого плавания!,['киноповесть'],['Николай Лебедев'],['СССР'],1949,6.9
Счастливая любовь,['музыкальная комедия'],['Дэвид Миллер'],['США'],1949,5.8
Странная сделка,['Фильм нуар'],['Уилл Прайс'],['США'],1949,6.7
Стойкость,['Фильм нуар'],['Дуглас Сирк'],['США'],1949,6.5
Счастливый рейс,"['музыкальная', 'комедия']",['Владимир Немоляев'],['СССР'],1949,7.1
Страстная дружба,['мелодрама'],['Дэвид Лин'],['Великобритания'],1949,7.3
Стучись в любую дверь,"['драма', 'нуар']",['Николас Рэй'],['США'],1949,6.6
Сталинградская битва,"['киноэпопея', 'военный фильм']",['Владимир Петров'],['СССР'],1949,6.1
Солнце восходит,"['Приключения', 'драма', 'семейный фильм']",['Ричард Торп'],['США'],1949,6.4
Слишком поздно для слёз,['Фильм нуар'],['Байрон Хэскин'],['США'],1949,7.3
Смерть нежна,"['драма, экранизация']",['Эдит Карлмар'],['Норвегия'],1949,6.5
Сделай один ложный шаг,['Фильм нуар'],['Честер Эрскин'],['США'],1949,6.4
Рядовой Анжело,"['комедия, военный, экранизация']","['Майкл Андерсон', 'Питер Устинов']",['США'],1949,7.5
Свидание в июле,['Драма'],['Жак Беккер'],['Франция'],1949,7.1
Я люблю трудности,['Фильм нуар'],['С. Силвэн Саймон'],['США'],1948,6.7
"Я, Джейн Доу","['Мелодрама', 'Фильм нуар']",['Джон Х. Ауэр'],['США'],1948,7.0
Следуй за мной тихо,"['Фильм нуар', 'Детектив']",['Ричард Флейшер'],['США'],1949,6.5
Я всегда одинок,['Фильм нуар'],['Байрон Хэскин'],['США'],1948,7.0
Я бы не хотел оказаться в твоей шкуре,['Фильм нуар'],['Уильям Най'],['США'],1948,6.5
Эта дама в горностае,"['музыкальная', 'комедия']","['Эрнст Любич', 'Отто Премингер']",['США'],1948,5.8
Эббот и Костелло встречают Франкенштейна,['комедийный фильм ужасов'],['Чарльз Бартон'],['США'],1948,7.3
Форт Апачи,['вестерн'],['Джон Форд'],['США'],1948,7.4
Удивительный мистер Икс,"['Фильм нуар', 'Фильм ужасов']",['Бернард Ворхаус'],['США'],1948,6.4
Улица без названия,['Фильм нуар'],['Уильям Кили'],['США'],1948,7.0
Ужасные родители,['драма'],['Жан Кокто'],['Франция'],1948,6.9
Уличная гонка,['Фильм нуар'],['Эдвин Л. Марин'],['США'],1948,6.5
У ночи тысяча глаз,"['Фильм нуар', 'Фэнтези']",['Джон Фэрроу'],['США'],1948,7.1
Триумфальная арка,['драма'],['Льюис Майлстоун'],['США'],1948,6.3
Хромой дьявол,"['исторический', 'биографический фильм']",['Саша Гитри'],['Франция'],1948,6.9
Три крёстных отца,['вестерн'],['Джон Форд'],['США'],1948,7.0
Три встречи,['драматический фильм'],"['Александр Птушко', 'Всеволод Пудовкин', 'Сергей Юткевич']",['СССР'],1948,6.0
Третий удар,"['киноэпопея', 'история,', 'военный фильм']",['Игорь Савченко'],['СССР'],1948,6.6
Тёмное прошлое,['нуар'],['Рудольф Мате'],['США'],1948,6.3
Тото совершает поездку по Италии,"['спортивная', 'комедия']",['Марио Маттоли'],['Италия'],1948,6.6
Только ваш,['романтическая комедия'],['Престон Стёрджес'],['США'],1948,7.5
Три мушкетёра,"['боевик', 'приключенческий фильм', 'драма', 'мелодрама']",['Джордж Сидни'],['США'],1948,7.1
Страницы жизни,['драма'],"['Борис Барнет', 'Александр Мачерет']",['СССР'],1948,6.5
Телохранитель,['Фильм нуар'],['Ричард Флейшер'],['США'],1948,6.5
Тайна за дверью,"['Готический', 'триллер', 'Психологическая драма']",['Фриц Ланг'],['США'],1948,6.7
Супермен,"['боевик', 'научно-фантастический фильм']","['Спенсер Гордон Беннет', 'Томас Карр']",['США'],1948,6.8
Суд чести,"['драма', 'исторический фильм']",['Абрам Роом'],['СССР'],1948,5.2
Странная миссис Крейн,['Фильм нуар'],['Сэм Ньюфилд'],['США'],1948,6.4
Таинственный рыцарь,"['приключенческий фильм', 'драматический фильм']",['Риккардо Фреда'],['Италия'],1948,6.3
"Спи, моя любовь",['Фильм нуар'],['Дуглас Сёрк'],['США'],1948,6.8
Стены Иерихона,"['Мелодрама', 'Драма']",['Джон М. Стал'],['США'],1948,6.9
Сокровища Сьерра-Мадре,"['приключения', 'драма', 'вестерн']",['Джон Хьюстон'],"['США', 'Мексика']",1948,8.2
София,['шпионский фильм'],['Джон Рейнхарт'],['США'],1948,5.9
Состояние единства,"['драма', 'комедия']",['Фрэнк Капра'],['США'],1948,7.2
Сила зла,"['Нуар', 'гангстерский фильм']",['Абрахам Полонски'],['США'],1948,7.2
Скудда-У! Скудда-Эй!,['комедия'],['Хью Херберт'],['США'],1948,5.9
Роман в открытом море,"['романтическая комедия', 'мюзикл']",['Майкл Кёртис'],['США'],1948,7.0
Сайгон,"['Приключенческий боевик', 'Фильм нуар']",['Лесли Фентон'],['США'],1948,6.3
Роковая ночь,['триллер'],['Марио Зампи'],['Великобритания'],1948,7.5
Путь славы,['драматический фильм'],"['Михаил Швейцер', 'Борис Бунеев', 'Анатолий Рыбаков']",['СССР'],1948,5.0
Свидание с Джуди,['музыкальный фильм'],['Ричард Торп'],['США'],1948,6.5
«Серебряная река»,['вестерн'],['Рауль Уолш'],['США'],1948,6.5
Пьяный ангел,"['драма', 'криминал']",['Акира Куросава'],['Япония'],1948,7.6
Родные Холмы,"['драма', 'семейный фильм']",['Фред М. Уилкокс'],['США'],1948,6.6
Придорожное заведение,"['нуар', 'Мелодрама']",['Жан Негулеско'],['США'],1948,7.2
Прикосновение бархата,"['Фильм нуар', 'Детектив', 'Мелодрама']",['Джек Гейдж'],['США'],1948,6.8
Шторм над Тибетом,"['приключенческий', 'драма']",['Эндрю Мартон'],['США'],1952,5.7
Я был им три раза,['комедия'],['Саша Гитри'],['Франция'],1952,6.5
Школа злословия,['комедия'],['А. Роом'],['СССР'],1952,7.7
Эбботт и Костелло встречают капитана Кидда,"['комедия', 'приключения', 'мюзикл']",['Чарльз Лэмонт'],['США'],1952,5.7
Шинель,"['драма', 'комедия']",['Альберто Латтуада'],['Италия'],1952,7.5
Чёрный замок,['Мистика'],['Натан Юран'],['США'],1952,6.3
Фанфан-тюльпан,"['фильм плаща и шпаги', 'комедия']",['Кристиан-Жак'],['Франция'],1952,7.2
Человек в белом костюме,"['комедия', 'фантастика']",['Александр Маккендрик'],['Великобритания'],1952,7.3
Уэйкфилд Экспресс,['документальный'],['Линдсей Андерсон'],['Великобритания'],1952,6.4
Цель — Бирма,"['драма', 'военный']",['Рауль Уолш'],['США'],1952,7.3
Школа эхо,['фильм-драма'],['Тадаси Имаи'],['Япония'],1952,5.8
Учитель танцев,['музыкальная комедия'],"['В. Канцель', 'Т.\xa0Лукашевич']",['СССР'],1952,7.0
Умберто Д.,['драма'],['Витторио Де Сика'],['Италия'],1952,8.2
Узник крепости Зенда,"['приключенческий фильм', 'романтический фильм', 'драматический фильм', 'комедийный фильм', 'экранизация романа']",['Ричард Торп'],['США'],1952,6.9
Тайны Канзас-Сити,"['Фильм нуар', 'Триллер']",['Фил Карлсон'],['США'],1952,7.3
Узкая грань,"['Фильм нуар', 'Триллер']",['Ричард Флейшер'],['США'],1952,7.6
Тихий человек,['романтическая комедия'],['Джон Форд'],['США'],1952,7.7
Украденное лицо,['Фильм нуар'],['Теренс Фишер'],['Великобритания'],1952,6.0
Тото в цвете,['комедия'],['Стено'],['Италия'],1952,7.1
Стычка в ночи,"['драма', 'нуар']",['Фриц Ланг'],['США'],1952,7.0
Суд Божий,"['драма', 'исторический фильм']",['Раймон Бернар'],['Франция'],1952,5.7
Счастливое время,"['мелодрама', ', комедия']",['Ричард Флейшер'],['США'],1952,6.8
Телефонный звонок от незнакомца,"['Мелодрама', 'Фильм нуар']",['Жан Негулеско'],['США'],1952,7.0
Сон болельщика,"['кинофельетон, комедия, сатирическая новелла']",['Герберт Раппапорт'],['СССР'],1953,
Стальная ловушка,"['Фильм нуар', 'Триллер']",['Эндрю Л. Стоун'],['США'],1952,6.9
Тото и короли Рима,['комедия'],"['Стено', 'Марио Моничелли']",['Италия'],1952,6.5
Странное увлечение,"['Фильм нуар', 'Мелодрама']",['Гуго Гаас'],['США'],1952,6.1
Сплавщики,['комедия'],['Вацлав Вассерман'],['Чехословакия'],1952,5.6
«Садко»,['фильм-сказка'],['Александр Птушко'],['СССР'],1952,5.3
Соседи,['документальный фильм'],['Норман Макларен'],['Канада'],1952,7.9
Свидание с опасностью,['нуар'],['Льюис Аллен'],['США'],1952,6.5
Скандальная хроника,['Фильм нуар'],['Фил Карлсон'],['США'],1952,7.4
Снега Килиманджаро,['драма'],['Генри Кинг'],['США'],1952,6.1
Семь смертных грехов,"['комическая', 'драма']","['Ив Аллегре', 'Клод Отан-Лара', 'Эдуардо Де Филиппо', 'Роберто Росселлини', 'Карло Рим', 'Жан Древиль', 'Жорж Лакомб']","['Франция', 'Италия']",1952,6.4
Сестра Керри,['мелодрама'],['Уильям Уайлер'],['США'],1952,7.3
Современный человек,['комедия'],['Минору Сибуя'],['Япония'],1952,7.2
Ровно в полдень,['вестерн'],['Фред Циннеман'],['США'],1952,8.0
Рассвет 15 августа,"['военная', 'драма']",['Хидэо Сэкигава'],['Япония'],1952,
Снайпер,"['Фильм нуар', 'Триллер']",['Эдвард Дмитрык'],['США'],1952,7.1
Рим в 11 часов,['драма'],['Джузеппе Де Сантис'],['Италия'],1952,7.8
Пять пальцев,['шпионский фильм'],['Джозеф Лео Манкевич'],['США'],1952,7.6
Поворотная точка,['Фильм нуар'],['Уильям Дитерле'],['США'],1952,6.8
Пригнись и накройся,['образовательный'],['Энтони Риццо (в титрах не указан)'],['США'],1952,6.0
Пэт и Майк,['комедия'],['Джордж Кьюкор'],['США'],1952,6.9
Пресловутое ранчо,"['драма', 'вестерн', 'криминальный триллер']",['Фритц Ланг'],['США'],1952,6.9
Последняя страница,['Фильм нуар'],['Теренс Фишер'],['Великобритания'],1952,6.3
Ревизор,['комедия'],['Владимир Петров'],['СССР'],1952,7.7
Японская трагедия,['фильм-драма'],['Кэйсукэ Киносита'],['Япония'],1953,7.4
Поющие под дождём,"['музыкальный фильм', 'комедия', 'мелодрама']","['Джин Келли', 'Стэнли Донен']",['США'],1952,8.3
Эбботт и Костелло отправляются на Марс,"['комедия', 'фантастика']",['Чарльз Ламонт'],['США'],1953,5.9
Я исповедуюсь,"['триллер', 'детектив']",['Альфред Хичкок'],"['США', 'Канада']",1953,7.2
Честь товарища,"['киноповесть', 'экранизация', 'семейный']",['Николай Лебедев'],['СССР'],1953,6.6
Эбботт и Костелло встречают доктора Джекилла и мистера Хайда,['чёрная комедия'],"['Чарльз Ламонт', '[en]']",['США'],1953,6.4
Чук и Гек,['комедия'],['Иван Лукинский'],['СССР'],1953,6.7
Человек на чердаке,['Фильм нуар'],['Уго Фрегонезе'],['США'],1953,6.1
Чудовище с глубины 20 000 саженей,"['научная фантастика', 'триллер']",['Эжен Лурье'],['США'],1953,6.6
Шейн,"['вестерн', 'романтический фильм', 'драматический фильм', 'экранизация романа']",['Джордж Стивенс'],['США'],1953,7.6
Человек на канате,"['антикоммунистический', 'драма']",['Элиа Казан'],['США'],1953,7.2
Хондо,"['вестерн', 'драма']",['Джон Фэрроу'],['США'],1953,7.0
Целлюлоза,"['драма', 'соцреализм']",['Ежи Кавалерович'],['Польша'],1953,6.1
Человек из Аламо,"['драма', 'вестерн']",['Бадд Беттикер'],['США'],1953,6.4
"Хлеб, любовь и фантазия",['Романтическая комедия'],['Луиджи Коменчини'],['Италия'],1953,6.9
Хозяин Баллантрэ,"['боевик', 'приключенческий фильм', 'исторический фильм', 'мелодрама']",['Уильям Кайли'],['США'],1953,6.4
Утраченные грёзы,['драматический фильм'],"['Де Сантис, Джузеппе']",['Италия'],1953,6.9
Театральный фургон,"['комедия', 'мюзикл', 'мелодрама']",['Винсент Миннелли'],['США'],1953,7.4
Хиросима,['фильм-драма'],['Хидэо Сэкигава'],['Япония'],1953,7.5
Титаник,"['драма', 'мелодрама', 'фильм-катастрофа']",['Жан Негулеско'],['США'],1953,7.0
Тени,['Драматическая сатира'],"['Николай Акимов', 'Надежда Кошеверова']",['СССР'],1953,5.5
Трудная любовь,"['драма', 'соцреализм']",['Станислав Ружевич'],['Польша'],1953,5.0
Токийская повесть,['драма'],['Ясудзиро Одзу'],['Япония'],1953,8.1
Твоё имя,['мелодрама'],['Хидэо Ооба'],['Япония'],1953,6.8
Твоё имя. Часть II,['мелодрама'],['Хидэо Ооба'],['Япония'],1953,6.4
"Там, где видны фабричные трубы",['фильм-драма'],['Хэйноскэ Госё'],['Япония'],1953,7.5
Тайны Версаля,['исторический фильм'],['Саша Гитри'],['Франция'],1953,6.8
Таинственная находка,"['исторический фильм', 'приключенческий фильм']",['Борис Бунеев'],['СССР'],1953,6.2
Стеклянная стена,"['Фильм нуар', 'Политическая драма']",['Максвелл Шейн'],['США'],1953,6.8
Степные зори,['драматический фильм'],['Леон Сааков'],['СССР'],1953,
Считайте часы,"['Фильм нуар', 'Триллер']",['Дон Сигел'],['США'],1953,6.2
Судьба Марины,['мелодрама'],"['Исаак Шмарук', 'Виктор Ивченко']",['СССР'],1953,6.3
Суд – это я,['Фильм нуар'],['Гарри Эссекс'],['США'],1953,6.1
Странное желание господина Бара,['комедия'],['Геза фон Радваньи'],['Франция'],1953,6.9
Страх и вожделение,"['военный фильм', 'драма']",['Стэнли Кубрик'],['США'],1953,5.3
Супруги,['фильм-драма'],['Микио Нарусэ'],['Япония'],1953,7.3
Стеклянная паутина,['нуар'],['Джек Арнольд'],['США'],1953,6.6
Случай в тайге,['приключения'],"['Юрий Егоров', 'Юрий Победоносцев']",['СССР'],1953,6.3
Солдат Победы,['Фильм-биография'],['Ванда Якубовская'],['Польша'],1953,5.0
Спартак,['пеплум'],['Риккардо Фреда'],"['Франция', 'Италия']",1953,5.9
Система,['Фильм нуар'],['Льюис Сейлер'],['США'],1953,6.3
Сильная жара,"['детектив', 'нуар']",['Фриц Ланг'],['США'],1953,7.9
Синяя гардения,['Фильм нуар'],['Фриц Ланг'],['США'],1953,6.9
«Свадьба с приданым»,['музыкальная комедия'],"['Татьяна Лукашевич', 'Борис Равенских']",['СССР'],1953,6.3
Сказки туманной луны после дождя,"['кайдан', 'дзидайгэки']",['Кэндзи Мидзогути'],['Япония'],1953,8.2
Серебристая пыль,"['драма, фантастический, детективный']",['Абрам Роом'],['СССР'],1953,5.7
Спальня старшеклассниц,"['криминальный фильм', 'драма']",['Анри Декуэн'],['Франция'],1953,6.7
Сегодня мы поём,"['музыкальный, фильм-опера, фильм-биография']",['Митчелл Лейзен'],['США'],1953,6.1
Робот-монстр,"['фильм ужасов', 'кинофантастика']",['Фил Такер'],['США'],1953,3.0
Римский-Корсаков,['биографический'],"['Григорий Рошаль', 'Геннадий Казанский']",['СССР'],1953,6.3
"Ривер-стрит, 99","['Фильм нуар', 'Триллер', 'Мелодрама']",['Фил Карлсон'],['США'],1953,7.4
Римские каникулы,"['комедия', 'мелодрама']",['Уильям Уайлер'],['США'],1953,8.0
Разбитые мечты,['мелодрама'],['Роже Ришебе'],['франция'],1953,7.3
Происшествие на Саут-стрит,"['нуаровый', 'триллер']",['Сэмюэл Фуллер'],['США'],1953,7.6
Проект убийства,['нуар'],['Эндрю Л. Слоун'],['США'],1953,6.7
Провинциалка,"['комедийная драма', 'драматический фильм']",['Марио Сольдати'],['Италия'],1953,6.8
Поют жаворонки,['комедия'],"['Владимир Корш-Саблин', 'Константин\xa0Санников']",['СССР'],1953,4.8
Предупреждение,"['драма, история']",['Мирослав Цикан'],['Чехословакия'],1953,1.6
Признание одной девушки,"['Фильм нуар', 'Мелодрама']",['Гуго Гаас'],['США'],1953,6.4
Посрами дьявола,"['комедия', 'приключения']",['Джон Хьюстон'],"['США', 'Италия', 'Великобритания']",1953,6.4
Приключения Нацуко,"['фильм-драма', 'комедия']",['Нобору Накамура'],['Япония'],1953,
Приключение на Мариенштате,"['комедия', 'соцреализм']",['Леонард Бучковский'],['Польша'],1953,5.7
Полиция нравов,"['Фильм нуар', 'Полицейский процедурал']",['Арнольд Лейвен'],['США'],1953,6.7
Попутчик,"['триллер', 'нуар']",['Айда Лупино'],['США'],1953,6.9
Порочная женщина,['Фильм нуар'],['Расселл Раус'],['США'],1953,6.7
Плащаница,['драма'],['Генри Костер'],['США'],1953,6.7
Пират Чёрная Борода,['приключенческий'],['Рауль Уолш'],['США'],1953,6.0
Перед рассветом,['фильм-драма'],['Кодзабуро Ёсимура'],['Япония'],1953,6.4
Покорение Эвереста,['документальный фильм'],"['Джордж Лоу', '[en]']",['Великобритания'],1953,7.3
Памятник лилиям,"['военная', 'драма']",['Тадаси Имаи'],['Япония'],1953,7.1
Первая леди,"['историко', 'биографическая', 'драма']",['Генри Левин'],['США'],1953,6.8
Опера нищих,"['мюзикл', 'приключенческий фильм', 'мелодрама']",['Питер Брук'],['Великобритания'],1953,6.1
Отныне и во веки веков,['драма'],['Фред Циннеман'],['США'],1953,7.6
Оружие ярости,['вестерн'],['Рауль Уолш'],['США'],1953,6.0
Остров в Небе,"['приключения', 'драма']",['Уильям Уэллман'],['США'],1953,6.8
Опасность,"['Триллер', 'нуар']",['Джон Стёрджес'],['США'],1953,6.7
Опасный круиз,['Фильм нуар'],['Джозеф М. Ньюман'],['США'],1953,6.9
Побеждённые,['драма'],['Микеланджело Антониони'],"['Италия', 'Франция']",1953,6.6
Он,"['драма, мелодрама, экранизация']",['Луис Бунюэль'],['Мексика'],1953,7.9
Обнажённая шпора,['вестерн'],['Энтони Манн'],['США'],1953,7.3
Оно пришло из далёкого космоса,"['фильм ужасов', 'фантастика']",['Джек Арнольд'],['США'],1953,6.5
Над Неманом рассвет,['драма'],['Александр Файнциммер'],['СССР'],1953,
Ночные компаньоны,['драма'],['Ральф Хабиб'],['Франция'],1953,5.8
"О, Дримлэнд",['документальный'],['Линдсей Андерсон'],['Великобритания'],1953,6.5
Мятежный дух Кракатау,"['боевик', 'драма', 'приключенческий фильм']",['Джозеф Кейн'],['США'],1953,5.7
Мы — женщины,"['драма', 'комедия']","['Альфредо Гуарини', 'Джанни Франчолини', 'Роберто Росселлини', 'Луиджи Дзампа', 'Лукино Висконти']",['Италия'],1953,6.5
Ниагара,['нуар'],['Генри Хэтэуэй'],['США'],1953,7.0
Нахлебник,['драматический фильм'],"['Владимир Павлович Басов', 'Корчагин, Мстислав Васильевич']",['СССР'],1953,6.0
Мужчина в темноте,['Фильм нуар'],['Лью Лэндерс'],['США'],1953,6.2
Ночи Декамерона,"['драма', 'приключенческий фильм', 'мелодрама']",['Хьюго Фрегонезе'],"['Испания', 'Великобритания']",1953,5.2
Мутный поток,['драма'],['Тадаси Имаи'],['Япония'],1953,7.2
Яд другого человека,"['Криминальная', 'мелодрама']",['Ирвинг Рэппер'],"['Великобритания', 'США']",1951,6.8
Я могу достать это вам по оптовой цене,['Мелодрама'],['Майкл Гордон'],['США'],1951,6.7
Я был коммунистом для ФБР,"['Фильм нуар', 'Пропагандистский фильм']",['Гордон Дуглас'],['США'],1951,6.1
Pathala Bhairavi,['фэнтезийный фильм'],['К. В. Редди'],['Индия'],1951,8.5
Штормовое предупреждение,['Фильм нуар'],['Стюарт Хейслер'],['США'],1951,7.2
Шарф,['Фильм нуар'],['Эвальд Андре Дюпон'],['США'],1951,6.7
Чудо в Милане,"['драма', 'комедия', 'фэнтези']",['Витторио Де Сика'],['Италия'],1951,7.6
Хулиган,['Фильм нуар'],['Макс Носсек'],['США'],1951,6.2
Человек с моим лицом,['Фильм нуар'],['Эдвард Монтань'],['США'],1951,6.0
Эбботт и Костелло встречают человека-невидимку,"['комедия', 'спортивный', 'детектив', ', фантастика']","['Чарльз Ламонт', '[en]']",['США'],1951,6.6
Шум и крик,"['комедия', 'триллер', 'детский фильм']",['Чарльз Крайтон'],['Великобритания'],1951,6.7
Харви,['эксцентрическая комедия'],['Генри Костер'],['США'],1951,7.9
Четырнадцать часов,"['Драма', 'Триллер']",['Генри Хэтэуэй'],['США'],1951,7.1
Что скажут люди,"['драма', 'романтическая комедия']",['Джозеф Манкевич'],['США'],1951,7.3
Фанфары любви,"['музыкальный, комедия']",['Курт Хоффманн'],['ФРГ'],1951,5.4
Украденный год,"['мелодрама, экранизация']",['Вильфрид Фрасс'],['Австрия'],1951,6.1
Туз в рукаве,"['драма', 'нуар']",['Билли Уайлдер'],['США'],1951,8.1
Тревога,"['Психологическая', 'драма']",['Захари Жандов'],['НРБ'],1951,5.8
Только в Париже,"['траги', 'комедия']",['Эрве Бромбергер'],['Франция'],1951,5.4
Тринадцатое письмо,['Фильм нуар'],['Отто Премингер'],['США'],1951,6.3
Тарас Шевченко,"['историко', 'биографическая', 'драма']",['Игорь Савченко'],['СССР'],1951,6.5
Танцовщица,['семейная драма'],['Микио Нарусэ'],['Япония'],1951,6.7
Трамвай «Желание»,['драма'],['Элиа Казан'],['США'],1951,7.9
Толстяк,['Фильм нуар'],['Уильям Касл'],['США'],1951,6.2
Супермен и люди-кроты,['супергероика'],['Ли Шолем'],['США'],1951,5.5
Соломенный любовник,['комедия'],['Жиль Гранжье'],['Франция'],1951,5.2
Соблазнение,['Фильм нуар'],['Гуго Гаас'],['США'],1951,6.7
Советская Латвия,['документальный'],['Фёдор Киселёв'],['СССР'],1950,
Стрип,['Фильм нуар'],['Ласло Кардош'],['США'],1951,6.1
Сусана,['драма'],['Луис Бунюэль'],['Мексика'],1951,7.2
Спортивная честь,['Кинокомедия'],['Владимир Петров'],['СССР'],1951,5.9
Смерть коммивояжёра,['драма'],['Ласло Бенедек'],['США'],1951,7.2
Смех в раю,['комедия'],['Марио Дзампи'],['Великобритания'],1951,7.1
Свет в Коорди,['Оптимистическая драма'],['Герберт Раппапорт'],['СССР'],1951,5.3
Скрудж,"['фэнтези', 'драма']",['Брайан Десмонд Херст'],['Великобритания'],1951,8.1
Самая красивая,['драма'],['Лукино Висконти'],['Италия'],1951,7.7
Сельский врач,['драма'],['Сергей Герасимов'],['СССР'],1951,6.3
Сирокко,['Фильм-нуар'],['Кёртис Бернхардт'],['США'],1951,6.2
Родственные души,['Фильм нуар'],['Генри Левин'],['США'],1951,6.6
Сказки Гофмана,['музыкальный фильм'],"['Майкл Пауэлл', 'Эмерих Прессбургер']",['Великобритания'],1951,7.1
Рэкет,['нуар'],['Джон Кромвелл'],['США'],1951,6.7
Рассказ о любимой жене,['драма'],['Канэто Синдо'],['Япония'],1951,6.8
Причина для тревоги,['Фильм нуар'],['Тэй Гарнетт'],['США'],1951,6.4
Пятеро,"['научно-фантастический', 'постапокалиптический']","['Арч Оболер', '[en]']",['США'],1951,6.3
Раннее лето,['драма'],['Ясудзиро Одзу'],['Япония'],1951,8.1
Примкнуть штыки!,['Военный фильм'],['Сэмюэл Фуллер'],['США'],1951,6.9
Пржевальский,['биографический фильм'],['Сергей Юткевич'],"['СССР', 'Китай']",1951,6.7
"Представление, или Шарлотта и её стейк","['комедийный фильм', 'немое кино']",['Эрик Ромер'],['Франция'],1951,6.0
Под прицелом,['Фильм нуар'],['Тед Тецлафф'],['США'],1951,6.6
"Правда — хорошо, а счастье лучше","['фильм-спектакль', ', комедия']",['Сергей Алексеев'],['СССР'],1951,7.5
Препятствие,['Фильм нуар'],['Харольд Дэниелс'],['США'],1951,6.6
Полицейские и воры,"['комедия', 'драма']","['Стено', 'Марио Моничелли']",['Италия'],1951,7.7
Полёт на Марс,"['драма', 'фантастика']",['Лесли Селандер'],['США'],1951,5.1
Пекарь императора — Император пекарей,"['кинокомедия', 'фильм-сказка']",['Мартин Фрич'],['Чехословакия'],1951,8.1
Повесть о Гэндзи,['драма'],['Кодзабуро Ёсимура'],['Япония'],1951,6.9
«Осторожно! Бандиты!»,"['военная', 'драма']",['Карло Лидзани'],['Италия'],1951,6.4
Это не может случиться здесь,['триллер'],['Ингмар Бергман'],['Швеция'],1950,5.0
«Ясмин»,['Киномюзикл'],['Анвар Вагди'],['Египет'],1950,7.1
